#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_18:33926-35671|+   -            582 300at766             -            479  8.9e-204  673.8   8.5   1   1  1.7e-205    2e-203  672.6   8.5     4   479    18   562    15   562 0.90 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_8:112456-113214|+  -            253 300at766             -            479   1.3e-18   63.1   0.0   1   1   1.4e-20   1.6e-18   62.8   0.0   274   478    17   237     4   238 0.83 contig_8_116 # 112456 # 113214 # 1 # ID=19_116;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_8:204088-204711|-  -            208 300at766             -            479   4.8e-18   61.3   0.0   1   1   5.1e-20   5.9e-18   61.0   0.0   274   453    13   187     3   197 0.87 contig_8_215 # 204088 # 204711 # -1 # ID=19_215;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
contig_18:322930-325725|+ -            932 300at766             -            479   8.8e-15   50.5   1.8   1   4    0.0062      0.72    4.6   0.1   276   305    13    42     8    46 0.92 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 300at766             -            479   8.8e-15   50.5   1.8   2   4   1.5e-06   0.00017   16.6   0.0   388   462   474   551   461   573 0.84 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 300at766             -            479   8.8e-15   50.5   1.8   3   4    0.0003     0.035    8.9   0.0   258   305   594   641   587   662 0.81 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 300at766             -            479   8.8e-15   50.5   1.8   4   4   1.8e-06   0.00021   16.3   0.0   392   464   818   894   810   916 0.79 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm
# Target file:     private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/run_rickettsiales_odb10/hmmer_output/300at766.out --cpu 1 /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/300at766.hmm private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie
# Date:            Fri Jan 17 16:13:38 2025
# [ok]
